,director,director_gender,actor1,actor1_gender,actor2,actor2_gender,actor3,actor3_gender
594,Jeremiah S. Chechik,2.0,Johnny Depp,2.0,Mary Stuart Masterson,1.0,Aidan Quinn,2.0
595,Steve James,2.0,Jared Leto,2.0,R. Lee Ermey,2.0,Ed O'Neill,2.0
596,Bryan Spicer,2.0,Tom Arnold,2.0,Dean Stockwell,2.0,Debra Messing,1.0
597,Richard Linklater,2.0,Jayce Bartok,2.0,Amie Carey,1.0,Nicky Katt,2.0
598,Andy Tennant,2.0,Matthew Perry,2.0,Salma Hayek,1.0,Jon Tenney,2.0
599,Clint Eastwood,2.0,Clint Eastwood,2.0,Gene Hackman,2.0,Ed Harris,2.0
600,Stephen Kessler,2.0,Chevy Chase,2.0,Beverly D'Angelo,1.0,Randy Quaid,2.0
601,David Lynch,2.0,Bill Pullman,2.0,Patricia Arquette,1.0,John Roselius,2.0
602,John Singleton,2.0,Ving Rhames,2.0,Jon Voight,2.0,Don Cheadle,2.0
603,Mike Newell,2.0,Johnny Depp,2.0,Al Pacino,2.0,Michael Madsen,2.0
604,Jeff Pollack,2.0,Jamie Foxx,2.0,Tommy Davidson,2.0,Vivica A. Fox,1.0
605,Mark Christopher,2.0,Michael Saucedo,2.0,Justin Urich,2.0,Milo Ventimiglia,2.0
606,Mira Nair,1.0,Indira Varma,1.0,Sarita Choudhury,1.0,Ramon Tikaram,2.0
607,Betty Thomas,1.0,Howard Stern,2.0,Mary McCormack,1.0,Kelly Bishop,1.0
608,Phillip Noyce,2.0,Val Kilmer,2.0,Elisabeth Shue,1.0,Rade Serbedzija,2.0
609,Tom Shadyac,2.0,Jim Carrey,2.0,Maura Tierney,1.0,Cary Elwes,2.0
610,Gregory Nava,2.0,Jennifer Lopez,1.0,Edward James Olmos,2.0,Constance Marie,1.0
611,Alan J. Pakula,2.0,Harrison Ford,2.0,Brad Pitt,2.0,Margaret Colin,1.0
612,Mark Dindal,2.0,Scott Bakula,2.0,Jasmine Guy,1.0,Natalie Cole,1.0
613,Robert Townsend,2.0,Halle Berry,1.0,Martin Landau,2.0,Ian Richardson,2.0
614,Shuki Levy,2.0,Johnny Yong Bosch,2.0,Nakia Burrise,1.0,Jason David Frank,2.0
615,Bernard Rose,2.0,Sophie Marceau,1.0,Sean Bean,2.0,Alfred Molina,2.0
616,Pat O'Connor,2.0,Joaquin Phoenix,2.0,Liv Tyler,1.0,Jennifer Connelly,1.0
617,Luis Llosa,2.0,Jennifer Lopez,1.0,Ice Cube,2.0,Jon Voight,2.0
618,George Armitage,0.0,John Cusack,2.0,Minnie Driver,1.0,Dan Aykroyd,2.0
619,David Mirkin,2.0,Mira Sorvino,1.0,Lisa Kudrow,1.0,Janeane Garofalo,1.0
620,Jay Roach,2.0,Mike Myers,2.0,Elizabeth Hurley,1.0,Michael York,2.0
621,Jonathan Mostow,2.0,Kurt Russell,2.0,J.T. Walsh,2.0,Kathleen Quinlan,1.0
622,Luc Besson,2.0,Bruce Willis,2.0,Gary Oldman,2.0,Ian Holm,2.0
623,Rusty Cundieff,2.0,Tisha Campbell-Martin,1.0,Paula Jai Parker,1.0,John Witherspoon,2.0
624,Dee McLachlan,0.0,Gulshan Grover,2.0,Jamie Williams,2.0,Billy Campbell,2.0
625,Griffin Dunne,0.0,Meg Ryan,1.0,Matthew Broderick,2.0,Kelly Preston,1.0
626,Steven Spielberg,2.0,Jeff Goldblum,2.0,Julianne Moore,1.0,Pete Postlethwaite,2.0
627,Simon West,2.0,Nicolas Cage,2.0,John Cusack,2.0,John Malkovich,2.0
628,Jan de Bont,2.0,Sandra Bullock,1.0,Jason Patric,2.0,Willem Dafoe,2.0
629,Joel Schumacher,2.0,George Clooney,2.0,Chris O'Donnell,2.0,Arnold Schwarzenegger,2.0
630,Ron Clements,2.0,Tate Donovan,2.0,Josh Keaton,2.0,Roger Bart,2.0
631,P.J. Hogan,2.0,Julia Roberts,1.0,Dermot Mulroney,2.0,Cameron Diaz,1.0
632,John Woo,2.0,John Travolta,2.0,Nicolas Cage,2.0,Joan Allen,1.0
633,Barry Sonnenfeld,2.0,Tommy Lee Jones,2.0,Will Smith,2.0,Linda Fiorentino,1.0
634,Michael Ritchie,2.0,Martin Short,2.0,Kathleen Turner,1.0,Mara Wilson,1.0
635,Robert Zemeckis,2.0,Jodie Foster,1.0,Matthew McConaughey,2.0,James Woods,2.0
636,Ridley Scott,2.0,Demi Moore,1.0,Viggo Mortensen,2.0,Anne Bancroft,1.0
637,John Milius,2.0,Arnold Schwarzenegger,2.0,James Earl Jones,0.0,Max von Sydow,2.0
638,James Mangold,2.0,Sylvester Stallone,2.0,Harvey Keitel,2.0,Ray Liotta,2.0
639,Paul W.S. Anderson,2.0,Laurence Fishburne,2.0,Sam Neill,2.0,Kathleen Quinlan,1.0
640,Mark A.Z. Dippé,0.0,Michael Jai White,2.0,Martin Sheen,2.0,John Leguizamo,2.0
641,Charles Martin Smith,2.0,Kevin Zegers,2.0,Wendy Makkena,1.0,Michael Jeter,2.0
642,Glenn Gordon Caron,2.0,Jennifer Aniston,1.0,Jay Mohr,2.0,Kevin Bacon,2.0
643,Richard Donner,2.0,Mel Gibson,2.0,Julia Roberts,1.0,Patrick Stewart,2.0
644,Kenneth Johnson,2.0,Shaquille O'Neal,2.0,Annabeth Gish,1.0,Richard Roundtree,2.0
645,Guillermo del Toro,2.0,Mira Sorvino,1.0,Jeremy Northam,2.0,Giancarlo Giannini,2.0
646,Wolfgang Petersen,2.0,Harrison Ford,2.0,Gary Oldman,2.0,Glenn Close,1.0
647,Kevin Reynolds,0.0,Samuel L. Jackson,2.0,John Heard,2.0,Kelly Rowan,1.0
648,John McTiernan,2.0,Alec Baldwin,2.0,Sean Connery,2.0,Scott Glenn,2.0
649,Lee Tamahori,2.0,Alec Baldwin,2.0,Anthony Hopkins,2.0,Elle Macpherson,1.0
650,Curtis Hanson,2.0,Kevin Spacey,2.0,Guy Pearce,2.0,Danny DeVito,2.0
651,Jean-Jacques Annaud,2.0,Brad Pitt,2.0,Jamyang Jamtsho Wangchuk,0.0,David Thewlis,2.0
652,Gary Fleder,2.0,Morgan Freeman,2.0,Ashley Judd,1.0,Cary Elwes,2.0
653,Robert Kurtzman,2.0,Andrew Divoff,2.0,Tammy Lauren,1.0,Robert Englund,2.0
654,David Fincher,2.0,Michael Douglas,2.0,Sean Penn,2.0,Deborah Kara Unger,1.0
655,Félix Enríquez Alcalá,2.0,Steven Seagal,2.0,Marg Helgenberger,1.0,Stephen Lang,2.0
656,Oliver Stone,2.0,Sean Penn,2.0,Nick Nolte,2.0,Jennifer Lopez,1.0
657,Ang Lee,2.0,Kevin Kline,2.0,Joan Allen,1.0,Sigourney Weaver,1.0
658,Kevin Smith,2.0,Ben Affleck,2.0,Joey Lauren Adams,1.0,Jason Lee,2.0
659,Lionel C. Martin,0.0,Bill Bellamy,2.0,Lark Voorhies,1.0,Bernie Mac,2.0
660,Peter Cattaneo,2.0,Robert Carlyle,2.0,Mark Addy,2.0,William Snape,2.0
661,Jim Gillespie,2.0,Jennifer Love Hewitt,1.0,Sarah Michelle Gellar,1.0,Ryan Phillippe,2.0
662,Taylor Hackford,0.0,Keanu Reeves,2.0,Al Pacino,2.0,Charlize Theron,1.0
663,Andy Wilson,2.0,David Duchovny,2.0,Timothy Hutton,2.0,Angelina Jolie,1.0
664,Mark Waters,2.0,Parker Posey,1.0,Josh Hamilton,2.0,Tori Spelling,1.0
665,Errol Morris,2.0,Dave Hoover,0.0,George Mendonça,0.0,Raymond A. Mendez,0.0
666,Andrew Niccol,2.0,Ethan Hawke,2.0,Jude Law,2.0,Gore Vidal,2.0
667,Charles Sturridge,2.0,Mel Gibson,2.0,Harvey Keitel,2.0,Peter O'Toole,2.0
668,Joe Chappelle,2.0,Ben Affleck,2.0,Peter O'Toole,2.0,Rose McGowan,1.0
669,Jeb Stuart,2.0,Dennis Quaid,2.0,Danny Glover,2.0,R. Lee Ermey,2.0
670,Jim Kouf,2.0,Jim Belushi,2.0,Tupac Amaru Shakur,2.0,Lela Rochon,1.0
671,Ivan Reitman,2.0,Bill Murray,2.0,Harold Ramis,2.0,Warren Oates,2.0
672,Mel Smith,2.0,Rowan Atkinson,2.0,Peter MacNicol,2.0,John Mills,2.0
673,Costa-Gavras,0.0,John Travolta,2.0,Dustin Hoffman,2.0,Mia Kirshner,1.0
674,Mike Figgis,2.0,Wesley Snipes,2.0,Nastassja Kinski,1.0,Kyle MacLachlan,2.0
675,Francis Ford Coppola,2.0,Matt Damon,2.0,Danny DeVito,2.0,Jon Voight,2.0
676,Paul Thomas Anderson,2.0,Mark Wahlberg,2.0,Burt Reynolds,2.0,John C. Reilly,2.0
677,Peter Weir,2.0,Harrison Ford,2.0,Kelly McGillis,1.0,Josef Sommer,2.0
678,Paul Verhoeven,2.0,Casper Van Dien,2.0,Dina Meyer,1.0,Denise Richards,1.0
679,Wayne Wang,0.0,Ming-Na Wen,1.0,Lauren Tom,1.0,Tamlyn Tomita,1.0
680,Peter Howitt,2.0,Gwyneth Paltrow,1.0,John Hannah,2.0,John Lynch,2.0
681,John R. Leonetti,2.0,Robin Shou,0.0,Talisa Soto,1.0,James Remar,2.0
682,Peter Weir,2.0,Jim Carrey,2.0,Laura Linney,1.0,Noah Emmerich,2.0
683,Marleen Gorris,0.0,Vanessa Redgrave,1.0,Natascha McElhone,1.0,Michael Kitchen,2.0
684,Michael Caton-Jones,2.0,Bruce Willis,2.0,Richard Gere,2.0,Sidney Poitier,2.0
685,Gary Goldman,2.0,Meg Ryan,1.0,John Cusack,2.0,Christopher Lloyd,2.0
686,Jon Amiel,2.0,Bill Murray,2.0,Peter Gallagher,2.0,Joanne Whalley,1.0
687,Jean-Pierre Jeunet,2.0,Sigourney Weaver,1.0,Winona Ryder,1.0,Brad Dourif,2.0
688,Steven Spielberg,2.0,Morgan Freeman,2.0,Nigel Hawthorne,0.0,Anthony Hopkins,2.0
689,Woody Allen,2.0,Woody Allen,2.0,Kirstie Alley,1.0,Billy Crystal,2.0
690,Les Mayfield,0.0,Robin Williams,2.0,Marcia Gay Harden,1.0,Christopher McDonald,2.0
691,Bryan Spicer,2.0,Tim Allen,2.0,Kirstie Alley,1.0,Wayne Knight,2.0
692,Gus Van Sant,2.0,Robin Williams,2.0,Matt Damon,2.0,Ben Affleck,2.0
693,Raja Gosnell,2.0,Alex D. Linz,2.0,Olek Krupa,2.0,Rya Kihlstedt,1.0
694,Clint Eastwood,2.0,John Cusack,2.0,Kevin Spacey,2.0,Jude Law,2.0
695,Gore Verbinski,2.0,Nathan Lane,2.0,Lee Evans,2.0,Vicki Lewis,1.0
696,Wes Craven,2.0,David Arquette,2.0,Neve Campbell,1.0,Courteney Cox,1.0
697,Atom Egoyan,2.0,Ian Holm,2.0,Caerthan Banks,0.0,Sarah Polley,1.0
698,James Cameron,2.0,Kate Winslet,1.0,Leonardo DiCaprio,2.0,Frances Fisher,1.0
699,Roger Spottiswoode,2.0,Pierce Brosnan,2.0,Jonathan Pryce,2.0,Michelle Yeoh,1.0
700,Kevin Costner,2.0,Kevin Costner,2.0,Will Patton,2.0,Olivia Williams,1.0
701,Robert Redford,2.0,Robert Redford,2.0,Kristin Scott Thomas,1.0,Sam Neill,2.0
702,Quentin Tarantino,2.0,Pam Grier,1.0,Samuel L. Jackson,2.0,Robert Forster,2.0
703,Martin Scorsese,2.0,Tenzin Thuthob Tsarong,0.0,Tencho Gyalpo,0.0,Tsewang Migyur Khangsar,0.0
704,Joel Coen,0.0,Jeff Bridges,2.0,John Goodman,2.0,Julianne Moore,1.0
705,Alan Rudolph,2.0,Nick Nolte,2.0,Julie Christie,1.0,Lara Flynn Boyle,1.0
706,Alfonso Cuarón,2.0,Gwyneth Paltrow,1.0,Ethan Hawke,2.0,Chris Cooper,2.0
707,Barry Levinson,2.0,Dustin Hoffman,2.0,Robert De Niro,2.0,Anne Heche,1.0
708,Alex Proyas,2.0,Rufus Sewell,2.0,William Hurt,2.0,Kiefer Sutherland,2.0
709,Mikael Salomon,2.0,Morgan Freeman,2.0,Christian Slater,2.0,Randy Quaid,2.0
710,Tamra Davis,1.0,Dave Chappelle,2.0,Tommy Chong,2.0,Harland Williams,2.0
711,Gregory Hoblit,2.0,Denzel Washington,2.0,John Goodman,2.0,Donald Sutherland,2.0
712,Stefan Schwartz,2.0,Dan Futterman,2.0,Stuart Townsend,2.0,Kate Beckinsale,1.0
713,Bob Spiers,2.0,Victoria Beckham,1.0,Melanie Brown,0.0,Emma Bunton,1.0
714,Stephen Sommers,2.0,Treat Williams,2.0,Famke Janssen,1.0,Anthony Heald,2.0
715,Antoine Fuqua,2.0,Chow Yun-fat,2.0,Mira Sorvino,1.0,Michael Rooker,2.0
716,John Landis,2.0,Dan Aykroyd,2.0,John Goodman,2.0,Joe Morton,2.0
717,Frank Coraci,2.0,Adam Sandler,2.0,Drew Barrymore,1.0,Christine Taylor,1.0
718,Barry Levinson,2.0,Dustin Hoffman,2.0,Sharon Stone,1.0,Samuel L. Jackson,2.0
719,James L. Brooks,2.0,Jack Nicholson,2.0,Helen Hunt,1.0,Greg Kinnear,2.0
720,Abel Ferrara,2.0,Christopher Walken,2.0,David Caruso,2.0,Laurence Fishburne,2.0
721,Stuart Baird,2.0,Tommy Lee Jones,2.0,Wesley Snipes,2.0,Robert Downey Jr.,2.0
722,David Breashears,2.0,Liam Neeson,2.0,Ed Viesturs,2.0,David Breashears,2.0
723,Richard Linklater,2.0,Matthew McConaughey,2.0,Skeet Ulrich,2.0,Ethan Hawke,2.0
724,John McNaughton,2.0,Matt Dillon,2.0,Kevin Bacon,2.0,Denise Richards,1.0
725,Bob Gosse,2.0,Robin Tunney,1.0,Henry Thomas,0.0,Michael Parks,2.0
726,Boaz Yakin,2.0,Renée Zellweger,1.0,Julianna Margulies,1.0,Christopher Eccleston,2.0
727,James Toback,2.0,Robert Downey Jr.,2.0,Natasha Gregson Wagner,1.0,Heather Graham,1.0
728,Nicholas Hytner,2.0,Jennifer Aniston,1.0,Paul Rudd,2.0,Hayden Panettiere,1.0
729,Steve Boyum,2.0,Paul Walker,2.0,John Ashton,2.0,Dennis Hopper,2.0
730,Stephen Gyllenhaal,2.0,Billy Bob Thornton,2.0,Hank Azaria,2.0,Kelly Lynch,1.0
731,Michael Moore,2.0,Michael Moore,2.0,Elaine Bly,0.0,Jim Czarnecki,2.0
732,Stephen Hopkins,2.0,Gary Oldman,2.0,William Hurt,2.0,Matt LeBlanc,2.0
733,David Mamet,2.0,Steve Martin,2.0,Campbell Scott,2.0,Ben Gazzara,2.0
734,Brad Silberling,0.0,Nicolas Cage,2.0,Meg Ryan,1.0,Andre Braugher,2.0
735,Michael Lehmann,2.0,Billy Crystal,2.0,Kathleen Quinlan,1.0,Joanna Pacula,1.0
736,Spike Lee,2.0,Denzel Washington,2.0,Ray Allen,2.0,Milla Jovovich,1.0
737,Jake Kasdan,2.0,Bill Pullman,2.0,Ben Stiller,2.0,Ryan O'Neal,2.0
738,Peter Medak,2.0,Michael Madsen,2.0,Natasha Henstridge,1.0,Marg Helgenberger,1.0
739,John Warren,2.0,Scott Bakula,2.0,Corbin Bernsen,2.0,Dennis Haysbert,2.0
740,Barbara Kopple,1.0,Woody Allen,2.0,Letty Aronson,1.0,Soon-Yi Previn,0.0
741,Kirk Wong,2.0,Mark Wahlberg,2.0,Lou Diamond Phillips,2.0,Christina Applegate,1.0
742,Tim McCanlies,2.0,Breckin Meyer,2.0,Peter Facinelli,2.0,Eddie Mills,2.0
743,Bille August,2.0,Liam Neeson,2.0,Geoffrey Rush,2.0,Uma Thurman,1.0
744,Mimi Leder,1.0,Robert Duvall,2.0,Téa Leoni,1.0,Elijah Wood,2.0
745,Daisy von Scherler Mayer,1.0,Jada Pinkett Smith,1.0,Tommy Davidson,2.0,Duane Martin,2.0
746,Frederik Du Chau,2.0,Jessalyn Gilsig,1.0,Cary Elwes,2.0,Gary Oldman,2.0
747,Roland Emmerich,2.0,Matthew Broderick,2.0,Jean Reno,2.0,Maria Pitillo,1.0
748,Warren Beatty,2.0,Warren Beatty,2.0,Halle Berry,1.0,Sean Astin,2.0
749,Terry Gilliam,2.0,Johnny Depp,2.0,Benicio del Toro,2.0,Tobey Maguire,2.0
750,Don Roos,2.0,Christina Ricci,1.0,Martin Donovan,2.0,Lisa Kudrow,1.0
751,Andrew Davis,2.0,Michael Douglas,2.0,Gwyneth Paltrow,1.0,Viggo Mortensen,2.0
752,Ivan Reitman,2.0,Harrison Ford,2.0,Anne Heche,1.0,David Schwimmer,2.0
753,Harry Elfont,0.0,Jennifer Love Hewitt,1.0,Ethan Embry,2.0,Charlie Korsmo,2.0
754,Lisa Cholodenko,1.0,Radha Mitchell,1.0,Gabriel Mann,2.0,Ally Sheedy,1.0
755,Hal Hartley,2.0,Thomas Jay Ryan,2.0,James Urbaniak,2.0,Parker Posey,1.0
756,Tony Bancroft,2.0,Ming-Na Wen,1.0,Lea Salonga,0.0,Eddie Murphy,2.0
757,Rob Bowman,2.0,David Duchovny,2.0,Gillian Anderson,1.0,Mitch Pileggi,2.0
758,Betty Thomas,1.0,Eddie Murphy,2.0,Ossie Davis,2.0,Oliver Platt,2.0
759,Steven Soderbergh,2.0,George Clooney,2.0,Jennifer Lopez,1.0,Ving Rhames,2.0
760,Vincent Gallo,2.0,Vincent Gallo,2.0,Christina Ricci,1.0,Ben Gazzara,2.0
761,Michael Bay,2.0,Bruce Willis,2.0,Billy Bob Thornton,2.0,Ben Affleck,2.0
762,Richard Donner,2.0,Mel Gibson,2.0,Danny Glover,2.0,Joe Pesci,2.0
763,Joe Dante,2.0,Gregory Smith,2.0,Kirsten Dunst,1.0,Denis Leary,2.0
764,Darren Aronofsky,2.0,Sean Gullette,2.0,Mark Margolis,2.0,Ben Shenkman,2.0
765,Bobby Farrelly,2.0,Cameron Diaz,1.0,Ben Stiller,2.0,Matt Dillon,2.0
766,Harry Beaumont,2.0,Charles King,0.0,Anita Page,1.0,Bessie Love,1.0
767,Edmund Goulding,0.0,Greta Garbo,1.0,John Barrymore,0.0,Joan Crawford,1.0
768,Frank Lloyd,2.0,Diana Wynyard,1.0,Clive Brook,2.0,Una O'Connor,1.0
769,Frank Lloyd,2.0,Charles Laughton,0.0,Clark Gable,2.0,Franchot Tone,2.0
770,Frank Capra,0.0,Jean Arthur,1.0,Lionel Barrymore,2.0,James Stewart,2.0
771,John Ford,0.0,Walter Pidgeon,2.0,Maureen O'Hara,1.0,Roddy McDowall,2.0
772,William Wyler,2.0,Greer Garson,1.0,Walter Pidgeon,2.0,Teresa Wright,1.0
773,Leo McCarey,2.0,Bing Crosby,2.0,Barry Fitzgerald,2.0,Frank McHugh,0.0
774,Billy Wilder,0.0,Ray Milland,2.0,Jane Wyman,1.0,Phillip Terry,2.0
775,William Wyler,2.0,Fredric March,2.0,Myrna Loy,1.0,Dana Andrews,2.0
776,Elia Kazan,2.0,Gregory Peck,2.0,Dorothy McGuire,1.0,John Garfield,2.0
777,Cecil B. DeMille,2.0,Betty Hutton,1.0,Cornel Wilde,2.0,Charlton Heston,2.0
778,Fred Zinnemann,0.0,Burt Lancaster,2.0,Montgomery Clift,2.0,Deborah Kerr,1.0
779,Elia Kazan,2.0,Marlon Brando,2.0,Karl Malden,2.0,Lee J. Cobb,2.0
780,Delbert Mann,2.0,Ernest Borgnine,2.0,Betsy Blair,1.0,Esther Minciotti,1.0
781,Jerome Robbins,2.0,Natalie Wood,1.0,Richard Beymer,2.0,Russ Tamblyn,2.0
782,Tony Richardson,2.0,Albert Finney,0.0,Susannah York,1.0,Hugh Griffith,2.0
783,Fred Zinnemann,0.0,Paul Scofield,2.0,Wendy Hiller,1.0,Leo McKern,2.0
784,Norman Jewison,2.0,Sidney Poitier,2.0,Rod Steiger,2.0,Warren Oates,2.0
785,Carol Reed,2.0,Ron Moody,2.0,Shani Wallis,1.0,Oliver Reed,2.0
786,John Schlesinger,2.0,Dustin Hoffman,2.0,Jon Voight,2.0,Sylvia Miles,1.0
787,William Friedkin,0.0,Gene Hackman,2.0,Fernando Rey,2.0,Roy Scheider,2.0
788,John G. Avildsen,2.0,Sylvester Stallone,2.0,Talia Shire,1.0,Burt Young,2.0
789,Robert Benton,2.0,Dustin Hoffman,2.0,Meryl Streep,1.0,Jane Alexander,1.0
790,Hugh Hudson,2.0,Ben Cross,2.0,Ian Charleson,2.0,Cheryl Campbell,1.0
791,Sydney Pollack,2.0,Meryl Streep,1.0,Robert Redford,2.0,Klaus Maria Brandauer,2.0
792,Bernardo Bertolucci,2.0,John Lone,2.0,Peter O'Toole,2.0,Joan Chen,1.0
793,Barry Levinson,2.0,Dustin Hoffman,2.0,Tom Cruise,2.0,Valeria Golino,1.0
794,Bruce Beresford,2.0,Morgan Freeman,2.0,Jessica Tandy,1.0,Dan Aykroyd,2.0
795,Alex Cox,0.0,Harry Dean Stanton,2.0,Emilio Estevez,2.0,Tracey Walter,2.0
796,Jim Henson,2.0,David Bowie,2.0,Jennifer Connelly,1.0,Toby Froud,2.0
797,John Hughes,2.0,Emilio Estevez,2.0,Anthony Michael Hall,2.0,Judd Nelson,2.0
798,Jack Sholder,2.0,Robert Englund,2.0,Mark Patton,0.0,Kim Myers,1.0
799,Chuck Russell,2.0,Robert Englund,2.0,Patricia Arquette,1.0,Heather Langenkamp,1.0
800,Renny Harlin,2.0,Robert Englund,2.0,Tuesday Knight,1.0,Ken Sagoes,2.0
801,Stephen Hopkins,2.0,Robert Englund,2.0,Lisa Wilcox,1.0,Erika Anderson,1.0
802,Rachel Talalay,1.0,Robert Englund,2.0,Lisa Zane,1.0,Shon Greenblatt,2.0
803,Sean S. Cunningham,2.0,Betsy Palmer,1.0,Adrienne King,1.0,Harry Crosby,2.0
804,Steve Miner,2.0,Amy Steel,1.0,John Furey,2.0,Adrienne King,1.0
805,Steve Miner,2.0,Dana Kimmell,1.0,Paul Kratka,2.0,Tracie Savage,0.0
806,Joseph Zito,0.0,Kimberly Beck,1.0,Erich Anderson,2.0,Corey Feldman,2.0
807,Danny Steinmann,2.0,Melanie Kinnaman,1.0,John Shepherd,2.0,Shavar Ross,2.0
808,Tom McLoughlin,2.0,Thom Mathews,0.0,Jennifer Cooke,0.0,David Kagen,0.0
809,John Carl Buechler,2.0,Kane Hodder,2.0,Lar Park Lincoln,1.0,Susan Jennifer Sullivan,0.0
810,Rob Hedden,2.0,Kane Hodder,2.0,Jensen Daggett,1.0,Scott Reeves,0.0
811,John Carpenter,2.0,Donald Pleasence,2.0,Jamie Lee Curtis,1.0,P.J. Soles,1.0
812,Rick Rosenthal,0.0,Jamie Lee Curtis,1.0,Donald Pleasence,2.0,Charles Cyphers,2.0
813,Tommy Lee Wallace,2.0,Tom Atkins,2.0,Stacey Nelkin,1.0,Dan O'Herlihy,2.0
814,Dwight H. Little,0.0,Donald Pleasence,2.0,Ellie Cornell,1.0,Danielle Harris,1.0
815,Dominique Othenin-Girard,2.0,Donald Pleasence,2.0,Danielle Harris,1.0,Ellie Cornell,1.0
816,Paul Lynch,2.0,Leslie Nielsen,2.0,Jamie Lee Curtis,1.0,Casey Stevens,0.0
817,Bruce Pittman,2.0,Michael Ironside,2.0,Wendy Lyon,1.0,Louis Ferreira,0.0
818,Tom Holland,2.0,Catherine Hicks,1.0,Chris Sarandon,2.0,Alex Vincent,2.0
819,John Lafia,2.0,Alex Vincent,2.0,Jenny Agutter,1.0,Gerrit Graham,2.0
820,Jack Bender,2.0,Justin Whalin,2.0,Perrey Reeves,1.0,Jeremy Sylvers,2.0
821,Tobe Hooper,2.0,Craig T. Nelson,2.0,JoBeth Williams,1.0,Beatrice Straight,1.0
822,Brian Gibson,2.0,Craig T. Nelson,2.0,JoBeth Williams,1.0,Heather O'Rourke,1.0
823,Gary Sherman,0.0,Tom Skerritt,2.0,Nancy Allen,1.0,Heather O'Rourke,1.0
824,William Friedkin,0.0,Linda Blair,1.0,Max von Sydow,2.0,Ellen Burstyn,1.0
825,John Boorman,2.0,Linda Blair,1.0,Richard Burton,2.0,Louise Fletcher,1.0
826,William Peter Blatty,2.0,George C. Scott,2.0,Ed Flanders,2.0,Brad Dourif,2.0
827,Richard Donner,2.0,Mel Gibson,2.0,Danny Glover,2.0,Gary Busey,2.0
828,Richard Donner,2.0,Mel Gibson,2.0,Danny Glover,2.0,Joe Pesci,2.0
829,Richard Donner,2.0,Mel Gibson,2.0,Danny Glover,2.0,Joe Pesci,2.0
830,Joe Dante,2.0,Zach Galligan,2.0,Phoebe Cates,1.0,Hoyt Axton,2.0
831,Joe Dante,2.0,Zach Galligan,2.0,Phoebe Cates,1.0,John Glover,2.0
832,Richard Donner,2.0,Sean Astin,2.0,Josh Brolin,2.0,Jeff Cohen,2.0
833,Martin Campbell,2.0,Antonio Banderas,2.0,Anthony Hopkins,2.0,Catherine Zeta-Jones,1.0
834,Richard Fleischer,0.0,Charlton Heston,2.0,Edward G. Robinson,2.0,Leigh Taylor-Young,1.0
835,Robert Zemeckis,2.0,Michael J. Fox,2.0,Christopher Lloyd,2.0,Lea Thompson,1.0
836,Robert Zemeckis,2.0,Michael J. Fox,2.0,Christopher Lloyd,2.0,Mary Steenburgen,1.0
837,Ronald Neame,2.0,Gene Hackman,2.0,Ernest Borgnine,2.0,Red Buttons,2.0
838,David Hand,2.0,Donnie Dunagan,2.0,Peter Behn,0.0,Stan Alexander,0.0
839,Stephen Frears,0.0,Glenn Close,1.0,John Malkovich,2.0,Michelle Pfeiffer,1.0
840,David Lynch,2.0,Kyle MacLachlan,2.0,Francesca Annis,1.0,Leonardo Cimino,2.0
841,Martin Scorsese,2.0,Willem Dafoe,2.0,Harvey Keitel,2.0,Barbara Hershey,1.0
842,Francis Ford Coppola,2.0,Al Pacino,2.0,Diane Keaton,1.0,Andy García,2.0
843,Michael Tolkin,2.0,Mimi Rogers,1.0,Patrick Bauchau,0.0,David Duchovny,2.0
844,Adrian Lyne,2.0,Jeremy Irons,2.0,Dominique Swain,1.0,Melanie Griffith,1.0
845,David Nutter,0.0,James Marsden,2.0,Katie Holmes,1.0,Nick Stahl,2.0
846,Jim Abrahams,2.0,Jay Mohr,2.0,Billy Burke,2.0,Christina Applegate,1.0
847,Steven Spielberg,2.0,Tom Hanks,2.0,Matt Damon,2.0,Vin Diesel,2.0
848,Tommy O'Haver,2.0,Sean Hayes,2.0,Brad Rowe,2.0,Richard Ganoung,2.0
849,Ted Berman,2.0,Grant Bardsley,2.0,Susan Sheridan,1.0,John Byner,2.0
850,Gary Nelson,2.0,Maximilian Schell,2.0,Anthony Perkins,2.0,Robert Forster,2.0
851,Jeff Blyth,0.0,Keith Coogan,2.0,Lucy Deakins,1.0,Timothy Landfield,2.0
852,Sam Weisman,2.0,Emilio Estevez,2.0,Kathryn Erbe,1.0,Michael Tucker,2.0
853,Mikael Salomon,2.0,Reese Witherspoon,1.0,Ethan Embry,2.0,Jack Thompson,2.0
854,Randal Kleiser,2.0,Joey Cramer,2.0,Paul Reubens,2.0,Cliff DeYoung,0.0
855,Ron Clements,2.0,Barrie Ingham,2.0,Val Bettin,2.0,Vincent Price,2.0
856,Kenny Ortega,2.0,Bette Midler,0.0,Sarah Jessica Parker,1.0,Kathy Najimy,1.0
857,Randal Kleiser,2.0,Rick Moranis,2.0,Marcia Strassman,1.0,Robert Oliveri,2.0
858,Joe Johnston,2.0,Rick Moranis,2.0,Marcia Strassman,1.0,Matt Frewer,2.0
859,F. Gary Gray,2.0,Samuel L. Jackson,2.0,Kevin Spacey,2.0,David Morse,2.0
860,David Zucker,2.0,Trey Parker,2.0,Matt Stone,2.0,Yasmine Bleeth,1.0
861,Michael Moore,2.0,Michael Moore,2.0,Roger B. Smith,0.0,Rhonda Britton,0.0
