,director,director_gender,actor1,actor1_gender,actor2,actor2_gender,actor3,actor3_gender
61,Mike Newell,2.0,Alan Rickman,2.0,Hugh Grant,2.0,Georgina Cates,1.0
62,Ron Howard,2.0,Tom Hanks,2.0,Bill Paxton,2.0,Kevin Bacon,2.0
63,Michael Caton-Jones,2.0,Liam Neeson,2.0,Jessica Lange,1.0,John Hurt,2.0
64,Joel Schumacher,2.0,Val Kilmer,2.0,Tommy Lee Jones,2.0,Jim Carrey,2.0
65,Paul Auster,2.0,Harvey Keitel,2.0,Lou Reed,2.0,Michael J. Fox,2.0
66,Michael Moore,2.0,John Candy,2.0,Alan Alda,2.0,Rhea Perlman,1.0
67,Brad Silberling,0.0,Christina Ricci,1.0,Bill Pullman,2.0,Cathy Moriarty,1.0
68,Spike Lee,2.0,Harvey Keitel,2.0,John Turturro,2.0,Delroy Lindo,2.0
69,Frank Marshall,2.0,Laura Linney,1.0,Dylan Walsh,2.0,Ernie Hudson,2.0
70,Tony Scott,2.0,Denzel Washington,2.0,Gene Hackman,2.0,Matt Craven,2.0
71,Terry Zwigoff,0.0,Robert Crumb,2.0,Aline Kominsky,1.0,Charles Crumb,0.0
72,Robert Rodriguez,2.0,Antonio Banderas,2.0,Salma Hayek,1.0,Joaquim de Almeida,2.0
73,Carl Franklin,0.0,Denzel Washington,2.0,Tom Sizemore,2.0,Jennifer Beals,1.0
74,John McTiernan,2.0,Bruce Willis,2.0,Jeremy Irons,2.0,Samuel L. Jackson,2.0
75,Jerry Zucker,2.0,Sean Connery,2.0,Richard Gere,2.0,Julia Ormond,1.0
76,Iain Softley,2.0,Jonny Lee Miller,2.0,Angelina Jolie,1.0,Jesse Bradford,2.0
77,Robert Longo,2.0,Keanu Reeves,2.0,Dina Meyer,1.0,Takeshi Kitano,2.0
78,Danny Cannon,2.0,Sylvester Stallone,2.0,Diane Lane,1.0,Armand Assante,2.0
79,John Fortenberry,2.0,Pauly Shore,2.0,Tia Carrere,1.0,Stanley Tucci,2.0
80,Larry Clark,2.0,Leo Fitzpatrick,2.0,Rosario Dawson,1.0,Chloë Sevigny,1.0
81,Tom DiCillo,2.0,Steve Buscemi,2.0,Catherine Keener,1.0,Dermot Mulroney,2.0
82,Antonia Bird,1.0,Chris O'Donnell,2.0,Drew Barrymore,1.0,Matthew Lillard,2.0
83,Kevin Smith,2.0,Jason Lee,2.0,Jeremy London,2.0,Shannen Doherty,1.0
84,Bryan Spicer,2.0,Amy Jo Johnson,1.0,Jason David Frank,2.0,David Yost,2.0
85,Irwin Winkler,2.0,Sandra Bullock,1.0,Jeremy Northam,2.0,Dennis Miller,2.0
86,Chris Columbus,2.0,Hugh Grant,2.0,Julianne Moore,1.0,Tom Arnold,2.0
87,Daisy von Scherler Mayer,1.0,Parker Posey,1.0,Liev Schreiber,2.0,Anthony DeSando,2.0
88,Roland Joffé,0.0,Demi Moore,1.0,Gary Oldman,2.0,Robert Duvall,2.0
89,Paul Verhoeven,2.0,Elizabeth Berkley,1.0,Kyle MacLachlan,2.0,Gina Gershon,1.0
90,Wayne Wang,0.0,Harvey Keitel,2.0,William Hurt,2.0,Giancarlo Esposito,2.0
91,Lasse Hallström,2.0,Julia Roberts,1.0,Dennis Quaid,2.0,Robert Duvall,2.0
