,adjusted_revenue
399,233566692.45
400,262776792.17
401,83076613.79
402,2183197693.57
403,177608422.52
404,702816158.59
405,808294089.07
406,13252010.92
407,108384384.8
408,4737593903.51
409,80358235.22
410,2224921155.37
411,291776331.83
412,56077328.01
413,20968065.18
414,54048854.04
415,6466163.97
416,3102088.73
417,2344146.48
418,139799834.08
419,117207323.84
420,8956363.27
421,3290125.31
422,632919.55
423,230193247.75
424,7041694.12
425,258817657.88
426,24219974.26
427,101226565.45
428,71652953.12
429,129533642.23
430,67684786.69
431,71670052.64
432,196931709.16
433,372341828.61
434,24847520.47
435,461252264.58
436,25611354.74
437,309822576.27
438,59750888.1
439,616529569.32
440,61943984.36
441,109266933.05
442,18735931.23
443,76294422.82
444,2014210675.91
445,296264794.39
446,798048979.99
447,66260054.59
448,1918018.15
449,31724717.32
450,51925353.21
451,190499158.19
452,24978411.16
453,177957406.68
454,63595326.93
455,135489108.1
456,48500490.62
457,22900638.59
458,198863.32
459,4166514.08
460,1719040.75
461,506197.34
462,23757842.52
463,25226606.9
464,362524479.56
465,29152141.9
466,59300755.05
467,7090698.74
468,496274925.03
469,156258411.58
470,1601606597.38
471,66524665.86
472,1051468553.61
473,409985885.51
474,8282506.82
475,567239531.27
476,160996223.88
477,106403696.34
478,302073936.97
479,1409437603.68
480,4939264.66
481,87866706.13
482,354315082.14
483,265040218.38
484,342780371.54
485,236269366.52
486,99939966.78
487,122614121.37
488,68419301.15
489,154702232.57
490,52912359.84
491,880765944.88
492,184892356.93
493,423838.81
494,53047789.58
495,134885196.88
496,9531024.2
497,466366765.31
498,770720449.07
499,18614644.2
500,225284185.62
501,149088292.72
502,35672756.89
503,23458584.25
504,130940781.2
505,116940411.76
506,12769165.15
507,94034973.1
508,187851715.01
509,120316268.86
510,278032595.9
511,778838081.12
512,21652739.93
513,868192063.57
514,214931015.36
515,566879542.84
516,13195306.03
517,119103653.94
518,428744797.46
519,3628081.8
520,91107575.07
521,690098468.6
522,66260054.59
523,2297561.08
524,1216700252.49
525,11173588.65
526,4378806.07
527,39999437.13
528,937581033.68
529,101898063.19
530,197461958.06
531,20741575.22
532,47763336.8
533,29614819.54
534,56502494.81
535,81864493.45
536,26918147.18
537,166946851.84
538,683918710.31
539,5147716.5
540,183540217.08
541,279108859.24
542,86218586.04
543,15586098.51
544,31839679.99
545,291848237.5
546,40429506.66
547,91305137.78
548,377091149.34
549,45056659.55
550,328105978.32
551,145566035.03
552,60169928.76
553,262376231.98
554,1800414.16
555,234414647.67
556,38200400.08
557,202897424.83
558,75158354.08
559,3912894.62
560,501161785.77
561,450306690.96
562,469350530.03
563,174401916.07
564,138806626.06
565,245881613.02
566,205249314.19
567,297453508.87
568,489132794.72
569,92707008.7
570,683080570.14
571,38537055.69
572,86380897.81
573,273500591.89
574,2143246888.65
575,705886658.76
576,216539661.17
577,158419008.23
578,239345.17
579,427498229.82
580,62908162.48
581,183831286.59
582,20008548.2
583,270431150.25
584,131901394.15
585,187091335.84
586,220423498.47
587,5771032.33
588,39405496.99
589,14325805.47
590,17509475.93
591,48847127.68
592,548029.98
593,272012889.4
594,39370830.03
595,899906.25
596,6917370.34
597,1026340.78
598,45020093.52
599,76457626.09
600,55585761.02
601,5612275.39
602,20050912.73
603,64068059.68
604,30633026.73
605,813397.94
606,6421547.04
607,62962161.36
608,180290486.18
609,462259161.84
610,91623974.63
611,215022451.91
612,5446490.97
613,11057237.76
614,27456252.5
615,1209176.86
616,9049590.03
617,209033634.06
618,42886673.56
619,44644320.7
620,103357934.86
621,76596335.63
622,403023597.96
623,11534091.68
624,731615.91
625,52948112.95
626,349811972.94
627,342081520.76
628,251214714.44
629,363758055.06
630,385908118.86
631,457033525.88
632,375163749.49
633,900038396.59
634,12743453.32
635,261312078.06
636,73557492.13
637,200957632.57
638,68507531.4
639,40731807.47
640,134137563.0
641,35343183.16
642,67697923.63
643,209181861.8
644,2575288.8
645,38910396.16
646,481264713.74
647,8728832.82
648,373706136.75
649,66140742.11
650,192741628.48
651,200744588.68
652,92430071.67
653,24004120.74
654,167097159.15
655,24433059.9
656,10204006.29
657,12274651.62
658,18357278.68
659,21318154.76
660,393754217.29
661,191778345.93
662,233556627.47
663,6108264.98
664,956030.51
665,1271641.51
666,19138380.7
667,21378927.41
668,8457369.21
669,9898741.17
670,8842397.68
671,230018706.87
672,383618388.4
673,16097603.93
674,4036010.12
675,70117947.97
676,65818989.26
677,156518861.45
678,185102383.39
679,55759385.95
680,87216006.31
681,78455870.15
682,397160942.85
683,5053705.1
684,243307892.22
685,213490500.58
686,21076194.17
687,247384731.51
688,113002902.05
689,16319514.15
690,271783014.01
691,48272434.63
692,345015321.96
693,120764239.14
694,38337387.46
695,186939462.41
696,263210178.65
697,4983710.49
698,2817489427.35
699,508529960.79
700,26916426.95
701,281021345.0
702,60583546.48
703,8681049.39
704,69456373.35
705,3765684.27
706,83447772.59
707,98123951.95
708,40901774.69
709,29879853.39
710,26255055.42
711,37942404.77
712,461485.53
713,152706624.39
714,16846261.83
715,28878917.39
716,21129406.82
717,185419706.14
718,19698787.63
719,479770635.18
720,4792285.93
721,153932348.97
722,114955839.05
723,114283042.75
724,101050269.38
725,257252.63
726,1626964.97
727,3141469.99
728,70533522.6
729,6860209.56
730,408073.17
731,1099600.7
732,204746225.79
733,21127160.0
734,298767623.39
735,12008635.07
736,32432103.51
737,2977882.27
738,28819717.27
739,5371969.16
740,650206.48
741,40611295.76
742,850494.4
743,21196979.68
744,211220121.07
745,12070350.92
746,57400913.81
747,569932983.75
748,43913084.75
749,16060188.48
750,8840776.79
751,192534398.47
752,246610776.46
753,38502881.89
754,2900936.7
755,2038306.64
756,457613744.71
757,284502090.7
758,442781536.55
759,116907895.68
760,3571490.95
761,832761835.22
762,429229970.63
763,82227471.8
764,4843724.36
765,556204518.2
766,36095164.74
767,21484822.7
768,63195527.07
769,36939980.44
770,61564709.76
771,49695040.95
772,111813842.13
773,135004861.24
774,91107575.07
775,195881286.4
776,64603553.23
777,298170245.68
778,252616458.14
779,79512065.51
780,24847520.47
781,357741553.76
782,301053575.64
783,213981931.97
784,201079113.92
785,263570805.94
786,299380982.32
787,249216008.75
788,504895133.59
789,358799908.79
790,159025452.73
791,292729289.77
792,94823184.95
793,855629883.41
794,288277429.06
795,5426131.29
796,28470364.51
797,117377587.76
798,68340098.41
799,96567246.35
800,150274143.77
801,43833548.69
802,62763151.42
803,177755132.22
804,58577313.54
805,93196413.8
806,77808080.48
807,49958874.73
808,43549110.37
809,39734558.43
810,27682233.12
811,262992401.01
812,68854112.52
813,36577430.04
814,36830134.4
815,23020256.37
816,44015135.95
817,5785251.18
818,91608535.8
819,67093768.38
820,37004621.95
821,310400135.45
822,91688735.76
823,29316930.89
824,2435135747.63
825,124360358.26
826,73210853.82
827,259147940.87
828,450536225.52
829,562033717.68
830,361151743.68
831,77822064.87
832,140108207.86
833,376364920.71
834,19864868.85
835,656464385.36
836,458742260.9
837,495645020.46
838,2215132845.02
839,71863624.3
840,72959501.88
841,17356321.6
842,256577894.92
843,2299083.41
844,1618775.73
845,26326253.76
846,28570760.69
847,724555857.93
848,3038575.59
849,48496982.45
850,121024570.01
851,16122284.82
852,75425904.48
853,21873267.43
854,41519618.63
855,86385754.73
856,67049298.99
857,102477603.9
858,440393032.16
859,66987428.06
860,10567106.36
861,13260517.31
862,24218846.79
863,869544430.23
864,16443833.58
865,72373221.18
866,19124757.7
867,4864979.04
868,775242638.76
869,439554315.86
870,88659401.56
871,47658142.01
872,1769007639.49
873,723929618.38
874,88983072.54
875,288022052.22
876,61589063.28
877,25372612.82
878,111588429.27
879,422407848.04
880,13919856.31
881,164721619.77
882,5519527.45
883,83823277.17
884,9556628.14
885,82767596.01
886,249739792.88
887,46220078.83
888,21729906.87
889,82931256.92
890,785609443.98
891,114482170.12
892,51107472.48
893,16625331.9
894,52174047.84
895,33028625.27
896,53584947.49
897,344668627.72
898,98803362.51
899,156224030.74
900,37867637.94
901,254639925.59
902,74093107.03
903,88694215.81
904,13952753.76
905,37252418.25
906,103069612.16
907,189077557.46
908,73371265.85
909,35314788.41
910,55879779.28
911,90514572.7
912,86119603.63
913,16815591.46
914,178485133.44
915,15374251.13
916,73059068.08
917,56648826.13
918,235331077.49
