,Unnamed: 0,id,title,month,year,adjusted_budget,director,actor1,actor2,actor3,original_language,production_companies,production_countries,runtime,popularity,vote_average,vote_count,adjusted_revenue,prod_company,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_Foreign,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science Fiction,genre_TV Movie,genre_Thriller,genre_War,genre_Western,high_prod,director_gender_1.0,director_gender_2.0,actor1_gender_1.0,actor1_gender_2.0,actor2_gender_1.0,actor2_gender_2.0,actor3_gender_1.0,actor3_gender_2.0,director_noms,director_wins,prev_yr_gross_per_movie,prod_company_dom_box_office,prod_company_dom_box_office_per_movie,star_power,R_rated,PG_rated,PG13_rated,G_rated
2234,2234,1430.0,Bowling for Columbine,10,2002,5450887.19,Michael Moore,Michael Moore,George H. W. Bush,George W. Bush,en,"[{'name': 'Alliance Atlantis Communications', 'id': 803}, {'name': 'TiMe Film- und TV-Produktions GmbH', 'id': 11104}, {'name': 'Vif Babelsberger Filmproduktion GmbH & Co. Zweite KG', 'id': 26136}, {'name': 'Dog Eat Dog Films', 'id': 26137}, {'name': 'Iconolatry Productions Inc.', 'id': 26138}, {'name': 'Salter Street Films International', 'id': 26139}, {'name': 'United Broadcasting Inc.', 'id': 26140}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",120.0,11.393859,7.3,467.0,48464482.56,Alliance Atlantis Communications,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,1,0,1,74,45,17453319.5021,0,0,0,1,0,0,0
2235,2235,19973.0,Comedian,10,2002,0.0,Christian Charles,Jerry Seinfeld,Orny Adams,Greg Giraldo,en,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",82.0,7.938629,6.8,21.0,3739653.38,none,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,0,0,0,17453319.5021,0,0,0,1,0,0,0
2236,2236,8051.0,Punch-Drunk Love,10,2002,34068044.93,Paul Thomas Anderson,Adam Sandler,Emily Watson,Philip Seymour Hoffman,en,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'New Line Cinema', 'id': 12}, {'name': 'Ghoulardi Film Company', 'id': 178}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",95.0,6.7539690000000006,6.9,542.0,23166270.55,Columbia Pictures,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1,187,53,17453319.5021,14250727779,85847757,134,1,0,0,0
2237,2237,12779.0,Swept Away,10,2002,13627217.97,Guy Ritchie,Madonna,Adriano Giannini,Bruce Greenwood,en,"[{'name': 'Screen Gems', 'id': 3287}, {'name': 'SKA Films', 'id': 13419}, {'name': 'Codi S.p.a.', 'id': 57736}]","[{'iso_3166_1': 'IT', 'name': 'Italy'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",89.0,3.492576,4.8,52.0,815786.59,Screen Gems,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,0,0,1,0,1,17,8,17453319.5021,1187101674,38293602,0,1,0,0,0
2238,2238,15992.0,Abandon,10,2002,34068044.93,Stephen Gaghan,Katie Holmes,Benjamin Bratt,Charlie Hunnam,en,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Spyglass Entertainment', 'id': 158}, {'name': 'Touchstone Pictures', 'id': 9195}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",99.0,3.485213,4.6,45.0,14607501.43,Paramount Pictures,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,1,1,0,0,1,0,1,29,12,17453319.5021,9417295007,91430048,0,0,0,1,0
2239,2239,14112.0,Auto Focus,10,2002,9539052.58,Paul Schrader,Greg Kinnear,Willem Dafoe,Rita Wilson,en,"[{'name': 'Sony Pictures Classics', 'id': 58}, {'name': 'Propaganda Films', 'id': 278}, {'name': 'Good Machine', 'id': 10565}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",104.0,7.936578,6.1,56.0,2810022.29,Sony Pictures Classics,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,1,1,0,31,13,17453319.5021,0,0,0,1,0,0,0
2240,2240,49872.0,Hansel & Gretel,10,2002,0.0,Gary J. Tunnicliffe,Howie Mandel,Taylor Momsen,Jacob Smith,en,"[{'name': 'Tag Entertainment', 'id': 2636}, {'name': 'Broomstick Entertainment', 'id': 67871}, {'name': 'Majestic Film Partners', 'id': 67872}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",89.0,2.1866790000000003,5.9,12.0,136922.2,Tag Entertainment,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,1,0,0,1,2,1,17453319.5021,0,0,0,1,0,0,0
2241,2241,10285.0,Jason Goes to Hell: The Final Friday,8,1993,5090455.72,Adam Marcus,Kane Hodder,John D. LeMay,Kari Keegan,en,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Sean S. Cunningham Films', 'id': 17611}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",87.0,9.223325,4.2,197.0,27044004.74,New Line Cinema,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,1,0,1,0,1,1,0,2,1,10147916.6667,4483364687,60586009,0,1,0,0,0
2242,2242,11009.0,Saturday Night Fever,12,1977,14155232.49,John Badham,John Travolta,Karen Lynn Gorney,Barry Miller,en,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Robert Stigwood Organization (RSO)', 'id': 3978}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",118.0,13.657204,6.5,383.0,958969213.22,Paramount Pictures,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,1,0,0,1,10,3,0.0,9417295007,91430048,0,1,0,0,0
2243,2243,10805.0,Staying Alive,7,1983,54142879.83,Sylvester Stallone,John Travolta,Cynthia Rhodes,Finola Hughes,en,"[{'name': 'Paramount Pictures', 'id': 4}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",93.0,4.860672,4.7,93.0,159703456.09,Paramount Pictures,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,1,0,1,0,113,54,8067757.00935,9417295007,91430048,132,0,1,0,0
