,prod_company,num_movies,dom_box_office,int_box_office
654,Flower Film,1,93953653,181053657
655,Rickshaw,2,93953600,177605922
656,Reiner Greisman,1,93466502,174807445
657,A113 ,1,93436322,207283457
658,Pin High,2,93432655,162526238
659,Montford Murphy,2,93255288,271715166
660,Alphacore,1,93050117,286192091
661,Walter Parkes,2,92899644,114603872
662,Toonbox Entertainment,4,92818518,181305605
663,Demarest Films,10,92516480,208012377
664,Lovefilm,2,92249623,231443655
665,16:14 Entertainment,2,92054159,259143008
666,Ridley Scott Associates,2,92054159,259143008
667,Thunderbird Films,1,92054159,259143008
668,Bud Yorkin,1,92054159,259143008
669,Head Gear Films,20,91744040,150666808
670,Vendome Pictures,6,91614622,316607585
671,Ombra Films,4,91465481,224750776
672,Roth/Arnold,1,91188905,180188905
673,Bristol Automotive,1,91125143,227773686
674,Paramount Vantage,6,90901392,158822728
675,Nicholas Sparks Productions,2,90130011,117471829
