,prod_company,num_movies,dom_box_office,int_box_office
140,Don Simpson,4,591758328,1064997850
141,Dimension Films,20,588726176,1136324332
142,Reliance BIG Entertainment,13,584269038,1168558482
143,Tencent Pictures ,2,580616220,1378150542
144,Annapurna Pictures,24,579783321,970656227
145,Alphaville,6,576016977,1279760366
146,Gracie Films,7,574925763,1144981862
147,Mutual Film Company,5,560484182,1192779027
148,Point Grey,11,558475239,847878941
149,Media Rights Capital,9,543366657,1333905955
150,Team Todd,7,541812492,958448953
151,Jerry Bruckheimer Films,5,529383932,1516856282
152,Everyman Pictures,6,527873580,875124633
153,FilmNation Entertainment,38,525091712,1131229759
154,Cross Creek Pictures,17,521931372,1432246541
155,Laurence Mark,7,510043672,953094278
156,Eon Productions,3,505407634,1993468693
157,Phoenix Pictures,14,502861948,1423965300
158,Saturn Films,7,498734069,1089108103
159,Imprint Entertainment,7,493307170,1108388552
160,Maverick Films,2,493301605,1108382987
161,Sony Pictures,23,481821154,965543135
162,Valhalla Motion Pictures,5,476613306,1075406827
163,Image Nation Abu Dhabi,16,475587858,908777536
164,Robert Simonds Company,5,473736166,701728453
165,The Safran Company,20,473069185,1300156143
166,Tribeca Film,32,472470635,1013160606
167,Seven Bucks Productions,5,471106876,1240291009
168,Smart Entertainment,4,467780755,909231281
169,Beacon Pictures,9,467679476,863357318
170,David Brown,4,465896331,788887301
171,Cube Vision,5,465012965,559868178
172,Closest to the Hole,8,464306058,672289852
173,Wigram Productions,4,459047991,1250672549
174,Montecito Picture Company,9,456402265,839370167
175,Nu Image,14,454944305,1305491846
176,Wendy Fineman Productions,2,454891598,1005923792
177,Hemisphere Media Capital,3,452398349,1534275658
178,The Mark Gordon Company,12,448721161,1258329201
179,Constantin Film,14,448113245,1762357346
180,3 Arts Entertainment,9,445829606,854154290
181,Troublemaker Studios,8,441653060,810237232
182,Mark Johnson,2,433332447,1137880860
183,Will Packer Productions,9,430068915,512704722
184,Animal Logic,5,427249900,957559789
185,Matt Tolmach Productions,4,426621648,1003604118
186,Cine Plus,70,425159261,1453553837
187,M6 Films,10,419557479,1148972887
188,Open Road Films,20,414053954,709186120
189,Wanda Pictures,1,412563408,817012815
190,Good Universe,15,407712057,670442534
191,Anonymous Content,28,403598554,1044903012
192,Waverly Films,5,403485573,931060105
193,Solana Films,6,401360355,879715640
194,Newmarket Films,2,396327797,662065020
195,Image Nation,10,393307944,1126952424
