,director_gender_1.0,director_gender_2.0,actor1_gender_1.0,actor1_gender_2.0,actor2_gender_1.0,actor2_gender_2.0,actor3_gender_1.0,actor3_gender_2.0,director_noms,director_wins,prod_company_dom_box_office,prod_company_dom_box_office_per_movie,star_power
84,0,1,1,0,0,1,0,1,1,0,1593531455,54949360,0
85,0,1,1,0,0,1,0,1,21,12,14250727779,85847757,175
86,0,1,0,1,1,0,0,1,26,6,1593531455,54949360,0
87,1,0,1,0,0,1,0,1,3,0,0,0,0
88,0,0,1,0,0,1,0,1,22,7,720564052,80062672,369
89,0,1,1,0,0,1,1,0,73,38,275408053,39344007,0
90,0,0,0,1,0,1,0,1,24,14,365688790,30474065,0
91,0,1,1,0,0,1,0,1,29,13,0,0,150
92,0,1,1,0,0,1,0,1,9,3,3174157864,62238389,0
93,1,0,0,1,1,0,0,1,125,74,820616393,136769398,0
94,0,1,1,0,0,1,1,0,4,1,720564052,80062672,0
95,1,0,0,1,1,0,0,1,17,7,0,0,0
96,1,0,0,1,0,1,1,0,47,20,0,0,0
97,1,0,0,1,0,1,0,1,5,3,14174036096,80079299,391
98,0,1,0,1,0,1,0,1,3,2,5264430500,39286794,153
99,0,1,0,1,1,0,0,1,20,12,1593531455,54949360,93
100,0,0,0,1,0,0,0,1,7,2,14174036096,80079299,204
101,0,0,1,0,0,1,0,1,22,18,0,0,0
102,0,1,0,1,1,0,1,0,216,96,0,0,0
103,1,0,0,1,0,1,0,0,4,1,0,0,0
104,0,0,1,0,1,0,1,0,9,5,5264430500,39286794,282
105,0,1,0,1,0,1,0,1,35,14,365688790,30474065,0
106,0,1,0,1,0,1,1,0,0,0,4483364687,60586009,0
107,0,1,0,1,1,0,0,1,66,29,15272696394,82111270,429
108,0,1,0,1,0,1,1,0,0,0,4483364687,60586009,0
109,0,1,1,0,0,1,0,0,25,13,0,0,0
110,0,1,0,1,0,1,1,0,87,21,3981162822,72384778,0
111,0,1,0,1,0,1,0,1,5,1,13180557629,117683550,0
112,0,0,0,1,1,0,0,0,2,1,1643337362,45648260,0
113,0,0,0,1,0,1,0,0,0,0,0,0,0
114,0,1,0,1,0,1,0,1,0,0,0,0,0
115,0,1,1,0,1,0,1,0,221,106,0,0,0
116,0,1,0,1,0,1,0,1,4,2,0,0,0
117,0,1,0,1,0,1,0,1,3,2,13180557629,117683550,0
118,0,0,0,1,0,1,1,0,77,37,168806385,84403192,364
119,0,1,0,1,1,0,1,0,56,24,0,0,0
120,0,1,0,1,0,1,1,0,19,7,14174036096,80079299,173
121,0,1,0,1,0,1,1,0,84,51,4928566616,273809256,0
122,0,1,0,1,0,1,0,1,42,22,0,0,91
123,0,1,1,0,1,0,0,1,5,1,9417295007,91430048,0
124,0,1,0,1,0,1,0,1,85,28,300261206,25021767,0
125,0,1,1,0,0,1,0,1,7,2,9417295007,91430048,0
126,0,0,0,1,1,0,0,1,3,1,1593531455,54949360,0
127,0,1,0,1,0,1,0,1,2,0,0,0,91
128,0,1,1,0,0,1,1,0,38,21,1593531455,54949360,313
129,0,1,0,1,1,0,0,1,97,55,5264430500,39286794,269
130,0,1,1,0,0,1,0,0,14,11,0,0,0
131,0,1,0,1,1,0,0,1,17,10,0,0,140
132,1,0,1,0,0,1,1,0,51,28,0,0,95
133,0,1,0,1,0,1,1,0,263,113,365688790,30474065,0
134,0,1,0,1,0,1,0,1,16,6,0,0,0
135,1,0,0,1,0,1,0,1,13,11,350022234,5833703,0
136,0,1,1,0,0,1,0,1,30,12,1643337362,45648260,360
137,0,1,0,1,1,0,0,1,130,63,365688790,30474065,0
138,0,1,1,0,0,1,0,1,0,0,0,0,0
139,0,1,0,1,1,0,0,1,1,0,0,0,435
140,0,1,0,1,0,1,0,1,28,14,1172584729,97715394,204
141,0,1,0,1,0,1,1,0,4,0,13180557629,117683550,0
142,0,1,0,1,0,1,0,1,38,13,1682457870,35796975,90
143,0,1,0,1,0,1,1,0,13,2,0,0,0
144,1,0,1,0,0,1,1,0,9,3,0,0,0
145,0,1,0,1,0,1,0,1,0,0,9417295007,91430048,0
146,0,1,0,1,0,1,0,1,3,1,0,0,0
147,0,1,0,1,0,1,0,1,1,0,9417295007,91430048,0
148,0,1,0,1,0,1,1,0,29,13,9417295007,91430048,170
149,0,0,0,1,0,1,1,0,2,1,9417295007,91430048,251
150,0,1,1,0,0,1,0,1,2,0,0,0,280
151,0,0,1,0,0,1,1,0,11,5,0,0,0
152,0,1,1,0,0,1,1,0,7,3,0,0,0
153,0,1,0,1,1,0,1,0,1,1,15272696394,82111270,0
154,0,1,0,1,0,1,0,1,12,5,0,0,0
155,0,1,0,1,1,0,1,0,144,78,0,0,0
156,0,1,0,1,0,1,1,0,32,22,9417295007,91430048,256
157,0,1,1,0,0,1,1,0,18,9,5264430500,39286794,73
158,0,1,0,1,1,0,0,1,12,6,365688790,30474065,0
159,0,1,0,1,0,1,1,0,8,6,5264430500,39286794,0
160,0,1,0,1,1,0,0,1,3,2,14174036096,80079299,0
161,0,1,0,1,1,0,0,1,0,0,9417295007,91430048,276
162,0,1,0,1,1,0,0,1,25,14,0,0,0
163,0,1,0,1,1,0,0,1,31,13,0,0,0
164,1,0,1,0,0,1,0,0,9,1,0,0,0
165,0,1,0,1,0,1,0,1,5,2,0,0,89
166,0,0,1,0,1,0,0,0,1,1,0,0,0
167,0,1,0,1,0,1,0,0,8,1,13180557629,117683550,0
168,0,1,0,1,1,0,0,1,71,41,365688790,30474065,241
169,0,1,1,0,0,1,0,1,16,10,4483364687,60586009,0
170,0,1,0,1,1,0,1,0,6,1,4483364687,60586009,0
171,0,1,0,1,1,0,0,1,1,0,9417295007,91430048,0
172,0,1,1,0,0,1,1,0,55,13,14174036096,80079299,0
173,0,1,0,1,0,1,1,0,12,5,0,0,99
174,0,1,0,1,0,1,1,0,7,1,1593531455,54949360,221
175,0,1,0,1,1,0,0,1,8,1,14174036096,80079299,0
176,0,1,0,1,1,0,0,1,110,58,1593531455,54949360,173
177,0,0,0,1,1,0,1,0,9,4,3981162822,72384778,194
178,0,1,0,1,0,1,0,1,42,17,306154562,153077281,415
179,0,1,0,1,0,1,1,0,11,4,0,0,0
180,0,1,0,1,1,0,0,1,2,0,0,0,0
181,0,1,0,1,0,1,1,0,5,3,14174036096,80079299,0
182,0,1,0,1,0,1,1,0,6,2,0,0,0
183,0,1,0,1,1,0,0,1,33,15,4483364687,60586009,0
184,0,1,0,1,1,0,0,1,15,7,9417295007,91430048,278
185,0,1,0,1,1,0,1,0,321,131,14250727779,85847757,272
186,0,1,0,1,0,0,1,0,8,3,720564052,80062672,0
187,0,1,1,0,1,0,1,0,6,0,1593531455,54949360,0
188,0,1,0,1,0,1,0,1,21,8,9417295007,91430048,150
189,0,1,1,0,0,1,0,1,38,21,4483364687,60586009,0
190,0,1,0,1,0,1,1,0,14,4,0,0,0
191,0,1,1,0,0,1,0,1,42,18,15272696394,82111270,0
192,1,0,0,1,1,0,0,1,8,4,0,0,0
193,0,1,0,1,0,1,0,1,138,53,233479558,33354222,0
194,0,1,0,1,0,1,0,1,6,1,3981162822,72384778,0
195,0,1,0,1,0,1,0,1,3,1,14250727779,85847757,0
196,0,1,0,1,0,1,1,0,32,10,14174036096,80079299,312
197,0,1,0,1,1,0,0,0,23,13,3174157864,62238389,166
198,0,1,0,1,0,1,0,1,15,3,1643337362,45648260,170
199,0,1,0,1,0,0,0,1,7,1,720564052,80062672,256
200,0,1,0,1,1,0,0,1,19,7,0,0,73
201,0,1,0,1,0,1,1,0,216,96,0,0,0
202,0,1,0,1,0,1,1,0,0,0,1924311002,60134718,451
203,0,1,1,0,0,1,0,1,34,7,9417295007,91430048,167
204,0,1,0,1,1,0,0,1,15,7,0,0,0
205,0,1,0,1,1,0,0,1,63,26,9417295007,91430048,354
206,0,0,0,1,1,0,0,1,7,4,1023886288,6563373,0
207,0,1,0,1,0,1,1,0,4,0,15272696394,82111270,247
208,0,1,0,1,0,1,0,1,28,14,14250727779,85847757,90
209,0,1,1,0,0,0,1,0,82,35,720564052,80062672,0
210,0,1,0,1,0,1,0,1,29,17,14174036096,80079299,0
211,0,1,0,1,0,1,1,0,5,3,1593531455,54949360,214
212,0,1,0,1,0,1,1,0,4,0,720564052,80062672,0
213,0,1,0,1,1,0,0,1,17,10,1682457870,35796975,138
214,0,1,0,1,0,1,1,0,66,29,14174036096,80079299,0
215,0,1,0,1,0,1,1,0,7,4,3981162822,72384778,0
216,0,1,0,1,0,1,0,1,14,4,14174036096,80079299,204
217,0,1,0,1,1,0,0,1,331,168,14174036096,80079299,0
218,0,1,0,1,0,1,1,0,4,3,0,0,175
219,0,1,0,1,1,0,0,1,15,13,0,0,0
220,0,1,0,1,0,1,0,1,10,6,0,0,284
221,0,1,0,1,0,1,1,0,126,64,168806385,84403192,0
222,0,1,0,1,1,0,0,1,2,2,14250727779,85847757,109
223,0,1,0,1,0,1,1,0,75,38,0,0,365
224,0,1,0,1,1,0,0,1,298,124,1643337362,45648260,0
225,0,1,0,1,0,1,0,1,8,1,4483364687,60586009,0
226,0,1,0,1,0,1,1,0,15,0,1924311002,60134718,293
227,0,1,0,1,1,0,0,1,26,6,1593531455,54949360,344
228,0,1,0,1,1,0,0,1,0,0,0,0,0
229,0,1,0,1,0,1,0,1,5,3,0,0,0
230,0,1,0,1,0,1,1,0,266,136,1079095605,67443475,539
231,0,1,0,1,0,1,0,1,57,27,1643337362,45648260,326
232,1,0,1,0,0,1,0,1,81,47,0,0,0
233,0,1,1,0,0,1,1,0,31,13,14250727779,85847757,0
234,0,1,0,1,1,0,0,1,10,3,3981162822,72384778,0
235,0,1,0,1,0,1,1,0,8,4,720564052,80062672,0
236,0,1,0,1,1,0,0,1,6,2,3981162822,72384778,0
237,0,1,0,1,1,0,0,1,56,24,14250727779,85847757,0
238,1,0,0,1,0,1,0,1,20,14,0,0,0
239,0,1,0,1,0,1,0,1,31,14,1593531455,54949360,425
240,0,1,0,1,1,0,0,1,2,2,0,0,0
241,0,1,0,1,0,1,0,1,50,23,102898718,3957643,0
242,0,1,0,1,1,0,1,0,4,1,1971259629,25600774,231
243,0,1,1,0,0,1,0,1,13,5,0,0,0
244,0,1,0,1,0,1,0,1,8,5,1643337362,45648260,0
245,0,1,0,1,0,1,0,1,331,168,14174036096,80079299,0
246,0,1,0,1,0,1,1,0,80,32,211119156,70373052,0
247,0,1,1,0,0,1,1,0,9,5,0,0,0
248,0,1,0,1,0,1,1,0,8,3,14174036096,80079299,71
249,0,1,1,0,1,0,0,1,130,63,0,0,0
250,0,1,0,1,1,0,0,1,18,11,365688790,30474065,0
251,0,0,0,1,1,0,0,1,24,7,1643337362,45648260,352
252,0,1,1,0,0,1,0,1,32,22,9417295007,91430048,198
253,0,1,0,1,0,1,1,0,120,37,0,0,257
254,0,1,0,1,1,0,0,1,0,0,720564052,80062672,0
255,0,1,0,1,1,0,0,1,32,15,1643337362,45648260,93
256,0,0,0,1,0,1,0,1,2,2,720564052,80062672,95
257,0,1,0,1,0,1,0,1,23,9,4483364687,60586009,0
258,0,1,0,1,1,0,0,1,2,0,720564052,80062672,223
259,0,1,0,1,0,1,0,0,23,8,0,0,0
260,0,1,0,1,0,1,0,1,9,5,13180557629,117683550,214
261,0,1,0,1,0,1,0,1,3,1,720564052,80062672,124
262,0,1,0,1,1,0,0,1,18,6,0,0,0
263,0,1,0,1,0,1,0,1,8,2,1593531455,54949360,265
264,0,1,0,1,0,1,1,0,38,23,15272696394,82111270,0
265,0,0,0,1,0,1,1,0,12,9,14174036096,80079299,0
266,0,0,0,1,1,0,0,1,3,1,1643337362,45648260,149
267,0,1,0,1,0,1,0,1,26,6,1593531455,54949360,0
268,0,1,0,1,1,0,1,0,12,6,9417295007,91430048,191
269,0,1,0,1,0,1,1,0,24,8,13180557629,117683550,391
270,0,1,0,1,1,0,0,1,110,58,820616393,136769398,352
271,0,1,0,1,1,0,0,1,88,45,306154562,153077281,331
272,0,1,0,1,0,1,1,0,87,21,0,0,245
273,0,1,1,0,0,1,0,1,57,27,0,0,0
274,0,1,1,0,1,0,0,1,1,1,0,0,0
275,0,1,1,0,0,1,0,1,6,1,13180557629,117683550,0
276,0,1,0,1,0,0,0,1,11,5,0,0,0
277,0,1,1,0,0,1,0,1,25,13,3981162822,72384778,0
278,0,0,0,1,0,1,0,1,12,5,0,0,0
279,0,1,1,0,0,1,1,0,1,0,1593531455,54949360,223
280,0,1,0,1,1,0,0,1,58,19,0,0,0
281,0,0,0,1,1,0,0,1,330,105,0,0,0
282,0,1,0,1,1,0,0,1,1,0,13180557629,117683550,99
283,0,0,0,1,1,0,1,0,0,0,365688790,30474065,0
284,0,1,0,0,0,1,0,1,6,5,0,0,0
285,0,0,1,0,0,1,0,1,4,2,0,0,0
286,0,1,0,1,0,1,1,0,19,10,9417295007,91430048,168
287,0,1,0,1,1,0,0,1,1,0,3174157864,62238389,210
288,0,1,0,1,1,0,1,0,0,0,0,0,0
289,0,1,1,0,0,1,0,1,98,43,835966117,18999229,0
290,0,1,0,1,1,0,0,1,42,22,1593531455,54949360,585
291,0,1,0,1,0,1,0,0,32,10,9417295007,91430048,187
292,0,1,0,1,0,1,0,1,4,1,14174036096,80079299,119
293,0,1,1,0,1,0,0,1,23,8,13180557629,117683550,0
294,0,1,1,0,0,1,0,1,41,17,4483364687,60586009,0
295,0,1,0,0,0,1,0,1,0,0,0,0,0
296,0,1,0,1,0,1,0,1,17,5,0,0,0
297,0,1,1,0,0,1,1,0,2,0,9417295007,91430048,0
298,0,1,1,0,1,0,0,1,7,2,1643337362,45648260,0
299,0,1,0,1,0,1,0,1,11,2,14174036096,80079299,0
300,0,1,0,1,0,1,0,1,0,0,13180557629,117683550,0
301,0,1,0,1,0,1,0,1,3,0,14174036096,80079299,0
302,0,1,1,0,0,1,0,1,19,9,0,0,0
303,0,1,1,0,1,0,1,0,3,0,14250727779,85847757,0
304,0,1,0,0,1,0,0,1,5,3,0,0,0
305,0,1,0,1,0,1,0,1,16,8,720564052,80062672,158
306,0,1,1,0,0,1,0,1,7,1,14174036096,80079299,0
307,0,1,1,0,0,1,1,0,1,0,0,0,0
308,0,0,0,1,1,0,0,1,8,1,0,0,210
309,0,1,0,1,0,1,0,1,83,38,0,0,0
310,0,0,0,1,1,0,0,1,7,4,9417295007,91430048,0
311,0,0,1,0,0,1,0,1,5,3,14250727779,85847757,219
312,0,1,0,1,1,0,0,1,85,47,300261206,25021767,193
313,1,0,1,0,0,1,0,1,9,2,0,0,0
314,0,1,0,1,0,1,0,1,151,80,365688790,30474065,0
315,0,1,0,1,0,1,0,1,28,14,1593531455,54949360,324
316,0,1,0,1,0,1,1,0,18,6,1643337362,45648260,342
317,0,1,0,1,1,0,0,1,6,1,13180557629,117683550,219
318,0,1,0,1,0,1,1,0,55,13,0,0,467
319,0,1,0,1,0,1,1,0,7,3,0,0,171
320,0,1,0,1,0,1,1,0,6,1,0,0,233
321,0,1,0,1,1,0,0,1,1,1,2558688676,59504387,85
322,0,1,0,1,1,0,0,1,4,1,14174036096,80079299,343
323,0,1,0,1,0,1,0,1,221,106,0,0,0
324,0,1,0,1,0,1,1,0,55,26,1682457870,35796975,0
325,0,1,0,1,1,0,0,1,2,0,3981162822,72384778,82
326,0,1,0,1,0,1,1,0,14,9,835966117,18999229,0
327,0,1,0,1,1,0,0,1,18,9,5264430500,39286794,326
328,0,1,0,1,0,1,0,1,3,3,0,0,77
329,0,1,0,1,0,1,1,0,13,1,3174157864,62238389,0
330,0,1,0,1,0,0,0,1,4,1,0,0,0
331,0,1,1,0,0,0,1,0,11,5,2006636144,59018710,147
332,0,1,0,1,0,1,0,1,106,38,3981162822,72384778,309
333,0,1,0,1,1,0,1,0,0,0,1643337362,45648260,0
334,1,0,1,0,1,0,1,0,0,0,0,0,0
335,0,1,0,1,0,1,1,0,4,0,1593531455,54949360,391
336,0,1,1,0,0,1,1,0,48,12,782151943,37245330,0
337,0,1,1,0,1,0,0,1,10,1,365688790,30474065,0
338,0,1,0,0,1,0,0,0,0,0,365688790,30474065,0
